model_id,scenario,game,n_messages,rank,word,count,freq
Qwen2.5-7B-Instruct,framing_team,sh,320,2,shared,253,0.790625
Qwen2.5-7B-Instruct,framing_team,sh,320,3,goal,250,0.78125
Qwen2.5-7B-Instruct,framing_team,sh,320,4,team,218,0.68125
Qwen2.5-7B-Instruct,framing_team,sh,320,5,other,186,0.58125
Qwen2.5-7B-Instruct,framing_team,sh,320,6,achieve,146,0.45625
Qwen2.5-7B-Instruct,framing_team,sh,320,7,support,136,0.425
Qwen2.5-7B-Instruct,framing_team,sh,320,8,work,125,0.390625
Qwen2.5-7B-Instruct,framing_team,sh,320,9,reach,95,0.296875
Qwen2.5-7B-Instruct,framing_team,sh,320,10,succeed,76,0.2375
Qwen3-4B,baseline_cheap_talk,pd,192,1,mutual,162,0.84375
Qwen3-4B,baseline_cheap_talk,pd,192,2,continue,139,0.7239583333333334
Qwen3-4B,baseline_cheap_talk,pd,192,3,benefit,115,0.5989583333333334
Qwen3-4B,baseline_cheap_talk,pd,192,4,cooperating,107,0.5572916666666666
Qwen3-4B,baseline_cheap_talk,pd,192,5,long,78,0.40625
Qwen3-4B,baseline_cheap_talk,pd,192,6,term,77,0.4010416666666667
Qwen3-4B,baseline_cheap_talk,pd,192,7,cooperation,74,0.3854166666666667
Qwen3-4B,baseline_cheap_talk,pd,192,8,maximize,63,0.328125
Qwen3-4B,baseline_cheap_talk,pd,192,9,trust,63,0.328125
Qwen3-4B,baseline_cheap_talk,pd,192,10,scores,59,0.3072916666666667
Qwen3-4B,baseline_cheap_talk,sh,192,1,mutual,192,1.0
Qwen3-4B,baseline_cheap_talk,sh,192,2,stag,191,0.9947916666666666
Qwen3-4B,baseline_cheap_talk,sh,192,3,choosing,189,0.984375
Qwen3-4B,baseline_cheap_talk,sh,192,4,benefit,188,0.9791666666666666
Qwen3-4B,baseline_cheap_talk,sh,192,5,cooperation,166,0.8645833333333334
Qwen3-4B,baseline_cheap_talk,sh,192,6,continue,163,0.8489583333333334
Qwen3-4B,baseline_cheap_talk,sh,192,7,payoff,63,0.328125
Qwen3-4B,baseline_cheap_talk,sh,192,8,higher,59,0.3072916666666667
Qwen3-4B,baseline_cheap_talk,sh,192,9,maximum,58,0.3020833333333333
Qwen3-4B,baseline_cheap_talk,sh,192,10,cooperate,15,0.078125
Qwen3-4B,counterfactual,pd,192,1,defect,176,0.9166666666666666
Qwen3-4B,counterfactual,pd,192,2,trust,158,0.8229166666666666
Qwen3-4B,counterfactual,pd,192,3,points,146,0.7604166666666666
Qwen3-4B,counterfactual,pd,192,4,gain,110,0.5729166666666666
Qwen3-4B,counterfactual,pd,192,5,cooperate,75,0.390625
Qwen3-4B,counterfactual,pd,192,6,breaking,75,0.390625
Qwen3-4B,counterfactual,pd,192,7,sustained,72,0.375
Qwen3-4B,counterfactual,pd,192,8,lose,66,0.34375
Qwen3-4B,counterfactual,pd,192,9,break,54,0.28125
Qwen3-4B,counterfactual,pd,192,10,risk,53,0.2760416666666667
Qwen3-4B,counterfactual,sh,192,1,hare,183,0.953125
Qwen3-4B,counterfactual,sh,192,2,chooses,170,0.8854166666666666
Qwen3-4B,counterfactual,sh,192,3,choose,164,0.8541666666666666
Qwen3-4B,counterfactual,sh,192,4,stag,161,0.8385416666666666
Qwen3-4B,counterfactual,sh,192,5,lose,161,0.8385416666666666
Qwen3-4B,counterfactual,sh,192,6,gain,138,0.71875
Qwen3-4B,counterfactual,sh,192,7,one,131,0.6822916666666666
Qwen3-4B,counterfactual,sh,192,8,keep,130,0.6770833333333334
Qwen3-4B,counterfactual,sh,192,9,points,109,0.5677083333333334
Qwen3-4B,counterfactual,sh,192,10,streak,38,0.19791666666666666
Qwen3-4B,no_sense,pd,192,1,birds,33,0.171875
Qwen3-4B,no_sense,pd,192,2,fly,33,0.171875
Qwen3-4B,no_sense,pd,192,3,earth,27,0.140625
Qwen3-4B,no_sense,pd,192,4,time,24,0.125
Qwen3-4B,no_sense,pd,192,5,flies,24,0.125
Qwen3-4B,no_sense,pd,192,6,sunny,21,0.109375
Qwen3-4B,no_sense,pd,192,7,day,21,0.109375
Qwen3-4B,no_sense,pd,192,8,music,18,0.09375
Qwen3-4B,no_sense,pd,192,9,enjoyable,18,0.09375
Qwen3-4B,no_sense,pd,192,10,like,18,0.09375
Qwen3-4B,no_sense,sh,192,1,birds,33,0.171875
Qwen3-4B,no_sense,sh,192,2,fly,33,0.171875
Qwen3-4B,no_sense,sh,192,3,earth,27,0.140625
Qwen3-4B,no_sense,sh,192,4,time,24,0.125
Qwen3-4B,no_sense,sh,192,5,flies,24,0.125
Qwen3-4B,no_sense,sh,192,6,sunny,21,0.109375
Qwen3-4B,no_sense,sh,192,7,day,21,0.109375
Qwen3-4B,no_sense,sh,192,8,music,18,0.09375
Qwen3-4B,no_sense,sh,192,9,enjoyable,18,0.09375
Qwen3-4B,no_sense,sh,192,10,like,18,0.09375
Qwen3-4B,framing_business,pd,320,1,partnership,382,1.19375
Qwen3-4B,framing_business,pd,320,2,returns,368,1.15
Qwen3-4B,framing_business,pd,320,3,stable,294,0.91875
Qwen3-4B,framing_business,pd,320,4,cooperation,278,0.86875
Qwen3-4B,framing_business,pd,320,5,risk,242,0.75625
Qwen3-4B,framing_business,pd,320,6,investment,168,0.525
Qwen3-4B,framing_business,pd,320,7,mutual,167,0.521875
Qwen3-4B,framing_business,pd,320,8,ensure,166,0.51875
Qwen3-4B,framing_business,pd,320,9,through,166,0.51875
Qwen3-4B,framing_business,pd,320,10,contract,147,0.459375
Qwen3-4B,framing_business,sh,320,1,returns,334,1.04375
Qwen3-4B,framing_business,sh,320,2,stag,312,0.975
Qwen3-4B,framing_business,sh,320,3,risk,300,0.9375
Qwen3-4B,framing_business,sh,320,4,partnership,273,0.853125
Qwen3-4B,framing_business,sh,320,5,investment,233,0.728125
Qwen3-4B,framing_business,sh,320,6,through,162,0.50625
Qwen3-4B,framing_business,sh,320,7,ensure,149,0.465625
Qwen3-4B,framing_business,sh,320,8,minimize,144,0.45
Qwen3-4B,framing_business,sh,320,9,maximize,135,0.421875
Qwen3-4B,framing_business,sh,320,10,align,125,0.390625
Qwen3-4B,framing_competitive,pd,320,1,defect,310,0.96875
Qwen3-4B,framing_competitive,pd,320,2,edge,296,0.925
Qwen3-4B,framing_competitive,pd,320,3,advantage,278,0.86875
Qwen3-4B,framing_competitive,pd,320,4,win,268,0.8375
Qwen3-4B,framing_competitive,pd,320,5,secure,265,0.828125
Qwen3-4B,framing_competitive,pd,320,6,rivals,213,0.665625
Qwen3-4B,framing_competitive,pd,320,7,outcompete,167,0.521875
Qwen3-4B,framing_competitive,pd,320,8,maximum,145,0.453125
Qwen3-4B,framing_competitive,pd,320,9,now,142,0.44375
Qwen3-4B,framing_competitive,pd,320,10,gain,92,0.2875
Qwen3-4B,framing_competitive,sh,320,1,edge,300,0.9375
Qwen3-4B,framing_competitive,sh,320,2,win,297,0.928125
Qwen3-4B,framing_competitive,sh,320,3,stag,257,0.803125
Qwen3-4B,framing_competitive,sh,320,4,advantage,187,0.584375
Qwen3-4B,framing_competitive,sh,320,5,rivals,184,0.575
Qwen3-4B,framing_competitive,sh,320,6,choose,178,0.55625
Qwen3-4B,framing_competitive,sh,320,7,secure,173,0.540625
Qwen3-4B,framing_competitive,sh,320,8,fiercely,162,0.50625
Qwen3-4B,framing_competitive,sh,320,9,compete,160,0.5
Qwen3-4B,framing_competitive,sh,320,10,maximum,139,0.434375
Qwen3-4B,framing_team,pd,320,1,team,320,1.0
Qwen3-4B,framing_team,pd,320,2,shared,320,1.0
Qwen3-4B,framing_team,pd,320,3,other,302,0.94375
Qwen3-4B,framing_team,pd,320,4,support,271,0.846875
Qwen3-4B,framing_team,pd,320,5,goal,260,0.8125
Qwen3-4B,framing_team,pd,320,6,keep,254,0.79375
Qwen3-4B,framing_team,pd,320,7,cooperating,242,0.75625
Qwen3-4B,framing_team,pd,320,8,together,213,0.665625
Qwen3-4B,framing_team,pd,320,9,work,188,0.5875
Qwen3-4B,framing_team,pd,320,10,benefit,73,0.228125
Qwen3-4B,framing_team,sh,320,1,shared,325,1.015625
Qwen3-4B,framing_team,sh,320,2,team,321,1.003125
Qwen3-4B,framing_team,sh,320,3,stag,282,0.88125
Qwen3-4B,framing_team,sh,320,4,maximum,280,0.875
Qwen3-4B,framing_team,sh,320,5,together,254,0.79375
Qwen3-4B,framing_team,sh,320,6,choose,243,0.759375
Qwen3-4B,framing_team,sh,320,7,keep,233,0.728125
Qwen3-4B,framing_team,sh,320,8,support,228,0.7125
Qwen3-4B,framing_team,sh,320,9,mutual,161,0.503125
Qwen3-4B,framing_team,sh,320,10,payoff,150,0.46875
gemma-2-2b-it,baseline_cheap_talk,pd,304,1,beneficial,78,0.2565789473684211
gemma-2-2b-it,baseline_cheap_talk,pd,304,2,mutually,72,0.23684210526315788
gemma-2-2b-it,baseline_cheap_talk,pd,304,3,building,70,0.23026315789473684
gemma-2-2b-it,baseline_cheap_talk,pd,304,4,strong,64,0.21052631578947367
gemma-2-2b-it,baseline_cheap_talk,pd,304,5,positive,63,0.20723684210526316
gemma-2-2b-it,baseline_cheap_talk,pd,304,6,continue,59,0.19407894736842105
gemma-2-2b-it,baseline_cheap_talk,pd,304,7,outcome,58,0.19078947368421054
gemma-2-2b-it,baseline_cheap_talk,pd,304,8,long,57,0.1875
gemma-2-2b-it,baseline_cheap_talk,pd,304,9,mutual,57,0.1875
gemma-2-2b-it,baseline_cheap_talk,pd,304,10,cooperative,55,0.18092105263157895
gemma-2-2b-it,baseline_cheap_talk,sh,294,1,strategy,69,0.23469387755102042
gemma-2-2b-it,baseline_cheap_talk,sh,294,2,outcome,60,0.20408163265306123
gemma-2-2b-it,baseline_cheap_talk,sh,294,3,seeking,54,0.1836734693877551
gemma-2-2b-it,baseline_cheap_talk,sh,294,4,strategies,53,0.18027210884353742
gemma-2-2b-it,baseline_cheap_talk,sh,294,5,game,52,0.17687074829931973
gemma-2-2b-it,baseline_cheap_talk,sh,294,6,beneficial,49,0.16666666666666666
gemma-2-2b-it,baseline_cheap_talk,sh,294,7,long,48,0.16326530612244897
gemma-2-2b-it,baseline_cheap_talk,sh,294,8,mutually,46,0.1564625850340136
gemma-2-2b-it,baseline_cheap_talk,sh,294,9,term,44,0.14965986394557823
gemma-2-2b-it,baseline_cheap_talk,sh,294,10,win,44,0.14965986394557823
gemma-2-2b-it,counterfactual,pd,301,1,defect,283,0.9401993355481728
gemma-2-2b-it,counterfactual,pd,301,2,higher,168,0.5581395348837209
gemma-2-2b-it,counterfactual,pd,301,3,payoff,121,0.4019933554817276
gemma-2-2b-it,counterfactual,pd,301,4,likely,111,0.3687707641196013
gemma-2-2b-it,counterfactual,pd,301,5,cooperate,76,0.25249169435215946
gemma-2-2b-it,counterfactual,pd,301,6,score,70,0.23255813953488372
gemma-2-2b-it,counterfactual,pd,301,7,able,68,0.22591362126245848
gemma-2-2b-it,counterfactual,pd,301,8,cooperating,41,0.1362126245847176
gemma-2-2b-it,counterfactual,pd,301,9,achieve,39,0.12956810631229235
gemma-2-2b-it,counterfactual,pd,301,10,next,33,0.10963455149501661
gemma-2-2b-it,counterfactual,sh,302,1,hare,168,0.5562913907284768
gemma-2-2b-it,counterfactual,sh,302,2,higher,147,0.4867549668874172
gemma-2-2b-it,counterfactual,sh,302,3,likely,129,0.4271523178807947
gemma-2-2b-it,counterfactual,sh,302,4,payoff,102,0.33774834437086093
gemma-2-2b-it,counterfactual,sh,302,5,stag,85,0.2814569536423841
gemma-2-2b-it,counterfactual,sh,302,6,choose,73,0.24172185430463577
gemma-2-2b-it,counterfactual,sh,302,7,score,71,0.23509933774834438
gemma-2-2b-it,counterfactual,sh,302,8,defect,60,0.1986754966887417
gemma-2-2b-it,counterfactual,sh,302,9,see,56,0.18543046357615894
gemma-2-2b-it,counterfactual,sh,302,10,play,52,0.17218543046357615
gemma-2-2b-it,framing_business,pd,600,1,investment,518,0.8633333333333333
gemma-2-2b-it,framing_business,pd,600,2,risk,450,0.75
gemma-2-2b-it,framing_business,pd,600,3,partnership,340,0.5666666666666667
gemma-2-2b-it,framing_business,pd,600,4,clear,262,0.43666666666666665
gemma-2-2b-it,framing_business,pd,600,5,returns,230,0.38333333333333336
gemma-2-2b-it,framing_business,pd,600,6,believe,168,0.28
gemma-2-2b-it,framing_business,pd,600,7,mutually,166,0.27666666666666667
gemma-2-2b-it,framing_business,pd,600,8,beneficial,164,0.2733333333333333
gemma-2-2b-it,framing_business,pd,600,9,objectives,160,0.26666666666666666
gemma-2-2b-it,framing_business,pd,600,10,mitigation,156,0.26
gemma-2-2b-it,framing_business,sh,592,1,investment,546,0.9222972972972973
gemma-2-2b-it,framing_business,sh,592,2,risk,460,0.777027027027027
gemma-2-2b-it,framing_business,sh,592,3,partnership,388,0.6554054054054054
gemma-2-2b-it,framing_business,sh,592,4,clear,284,0.4797297297297297
gemma-2-2b-it,framing_business,sh,592,5,returns,246,0.4155405405405405
gemma-2-2b-it,framing_business,sh,592,6,mutually,210,0.3547297297297297
gemma-2-2b-it,framing_business,sh,592,7,beneficial,192,0.32432432432432434
gemma-2-2b-it,framing_business,sh,592,8,long,156,0.2635135135135135
gemma-2-2b-it,framing_business,sh,592,9,term,156,0.2635135135135135
gemma-2-2b-it,framing_business,sh,592,10,venture,144,0.24324324324324326
gemma-2-2b-it,framing_competitive,pd,588,1,who,254,0.43197278911564624
gemma-2-2b-it,framing_competitive,pd,588,2,see,226,0.3843537414965986
gemma-2-2b-it,framing_competitive,pd,588,3,win,188,0.3197278911564626
gemma-2-2b-it,framing_competitive,pd,588,4,ready,182,0.30952380952380953
gemma-2-2b-it,framing_competitive,pd,588,5,truly,116,0.19727891156462585
gemma-2-2b-it,framing_competitive,pd,588,6,edge,106,0.18027210884353742
gemma-2-2b-it,framing_competitive,pd,588,7,prove,98,0.16666666666666666
gemma-2-2b-it,framing_competitive,pd,588,8,dominate,96,0.16326530612244897
gemma-2-2b-it,framing_competitive,pd,588,9,time,76,0.1292517006802721
gemma-2-2b-it,framing_competitive,pd,588,10,make,72,0.12244897959183673
gemma-2-2b-it,framing_competitive,sh,592,1,who,242,0.40878378378378377
gemma-2-2b-it,framing_competitive,sh,592,2,see,234,0.3952702702702703
gemma-2-2b-it,framing_competitive,sh,592,3,ready,204,0.34459459459459457
gemma-2-2b-it,framing_competitive,sh,592,4,win,176,0.2972972972972973
gemma-2-2b-it,framing_competitive,sh,592,5,edge,126,0.21283783783783783
gemma-2-2b-it,framing_competitive,sh,592,6,claim,116,0.19594594594594594
gemma-2-2b-it,framing_competitive,sh,592,7,dominate,110,0.1858108108108108
gemma-2-2b-it,framing_competitive,sh,592,8,victory,76,0.12837837837837837
gemma-2-2b-it,framing_competitive,sh,592,9,truly,74,0.125
gemma-2-2b-it,framing_competitive,sh,592,10,prove,74,0.125
gemma-2-2b-it,framing_team,pd,582,1,together,508,0.872852233676976
gemma-2-2b-it,framing_team,pd,582,2,team,486,0.8350515463917526
gemma-2-2b-it,framing_team,pd,582,3,shared,452,0.7766323024054983
gemma-2-2b-it,framing_team,pd,582,4,achieve,412,0.7079037800687286
gemma-2-2b-it,framing_team,pd,582,5,goal,404,0.6941580756013745
gemma-2-2b-it,framing_team,pd,582,6,work,292,0.5017182130584192
gemma-2-2b-it,framing_team,pd,582,7,other,202,0.3470790378006873
gemma-2-2b-it,framing_team,pd,582,8,support,200,0.3436426116838488
gemma-2-2b-it,framing_team,pd,582,9,strong,126,0.21649484536082475
gemma-2-2b-it,framing_team,pd,582,10,success,98,0.16838487972508592
gemma-2-2b-it,framing_team,sh,576,1,together,510,0.8854166666666666
gemma-2-2b-it,framing_team,sh,576,2,team,480,0.8333333333333334
gemma-2-2b-it,framing_team,sh,576,3,shared,480,0.8333333333333334
gemma-2-2b-it,framing_team,sh,576,4,achieve,428,0.7430555555555556
gemma-2-2b-it,framing_team,sh,576,5,goal,404,0.7013888888888888
gemma-2-2b-it,framing_team,sh,576,6,work,358,0.6215277777777778
gemma-2-2b-it,framing_team,sh,576,7,other,216,0.375
gemma-2-2b-it,framing_team,sh,576,8,success,124,0.2152777777777778
gemma-2-2b-it,framing_team,sh,576,9,support,120,0.20833333333333334
gemma-2-2b-it,framing_team,sh,576,10,strong,118,0.2048611111111111
gemma-2-2b-it,no_sense,pd,241,1,birds,42,0.17427385892116182
gemma-2-2b-it,no_sense,pd,241,2,fly,42,0.17427385892116182
gemma-2-2b-it,no_sense,pd,241,3,earth,30,0.12448132780082988
gemma-2-2b-it,no_sense,pd,241,4,time,30,0.12448132780082988
gemma-2-2b-it,no_sense,pd,241,5,flies,30,0.12448132780082988
gemma-2-2b-it,no_sense,pd,241,6,like,29,0.12033195020746888
gemma-2-2b-it,no_sense,pd,241,7,pizza,29,0.12033195020746888
gemma-2-2b-it,no_sense,pd,241,8,sunny,25,0.1037344398340249
gemma-2-2b-it,no_sense,pd,241,9,day,25,0.1037344398340249
gemma-2-2b-it,no_sense,pd,241,10,music,23,0.0954356846473029
gemma-2-2b-it,no_sense,sh,250,1,birds,43,0.172
gemma-2-2b-it,no_sense,sh,250,2,fly,43,0.172
gemma-2-2b-it,no_sense,sh,250,3,earth,36,0.144
gemma-2-2b-it,no_sense,sh,250,4,like,30,0.12
gemma-2-2b-it,no_sense,sh,250,5,pizza,30,0.12
gemma-2-2b-it,no_sense,sh,250,6,coffee,28,0.112
gemma-2-2b-it,no_sense,sh,250,7,morning,28,0.112
gemma-2-2b-it,no_sense,sh,250,8,time,26,0.104
gemma-2-2b-it,no_sense,sh,250,9,flies,26,0.104
gemma-2-2b-it,no_sense,sh,250,10,sunny,22,0.088
gemma-2-9b-it,baseline_cheap_talk,pd,320,1,continuing,158,0.49375
gemma-2-9b-it,baseline_cheap_talk,pd,320,2,cooperate,149,0.465625
gemma-2-9b-it,baseline_cheap_talk,pd,320,3,strategy,143,0.446875
gemma-2-9b-it,baseline_cheap_talk,pd,320,4,seems,122,0.38125
gemma-2-9b-it,baseline_cheap_talk,pd,320,5,cooperating,119,0.371875
gemma-2-9b-it,baseline_cheap_talk,pd,320,6,continue,83,0.259375
gemma-2-9b-it,baseline_cheap_talk,pd,320,7,beneficial,76,0.2375
gemma-2-9b-it,baseline_cheap_talk,pd,320,8,keep,74,0.23125
gemma-2-9b-it,baseline_cheap_talk,pd,320,9,best,69,0.215625
gemma-2-9b-it,baseline_cheap_talk,pd,320,10,successful,65,0.203125
gemma-2-9b-it,baseline_cheap_talk,sh,320,1,stag,320,1.0
gemma-2-9b-it,baseline_cheap_talk,sh,320,2,playing,221,0.690625
gemma-2-9b-it,baseline_cheap_talk,sh,320,3,continue,195,0.609375
gemma-2-9b-it,baseline_cheap_talk,sh,320,4,stick,51,0.159375
gemma-2-9b-it,baseline_cheap_talk,sh,320,5,propose,49,0.153125
gemma-2-9b-it,baseline_cheap_talk,sh,320,6,continued,47,0.146875
gemma-2-9b-it,baseline_cheap_talk,sh,320,7,well,45,0.140625
