model_id,scenario,round,message,hub_action,hub_payoff,path
gemma-2-9b-it,counterfactual,4,"If we all cooperate this round, we maintain the positive pattern we've established.",Defect,14,20260607_200316_pd_cheaptalk_run05.json
gemma-2-9b-it,counterfactual,4,"If we all cooperate this round, we'd each get 4 points instead of only 2 if we defect.",Defect,6,20260607_200316_pd_cheaptalk_run02.json
gemma-2-9b-it,counterfactual,2,"If we were to defect this round, we'd both receive a significantly lower payoff than last round.",Defect,18,20260607_200316_pd_cheaptalk_run05.json
gemma-2-9b-it,counterfactual,14,"If I cooperate this round, we'd continue the pattern of alternating cooperation and defection we've developed.",Defect,10,20260607_200316_pd_cheaptalk_run05.json
gemma-2-9b-it,counterfactual,7,"If we defect this round, our streak of mutual benefit would end.",Defect,18,20260607_200316_pd_cheaptalk_run01.json
gemma-2-9b-it,framing_competitive,13,"This isn't a game of cooperation, rivals. I'm here to win, and I won't hesitate to exploit any weakness.",Defect,6,20260608_085039_pd_cheaptalk_run05.json
gemma-2-9b-it,framing_competitive,15,"This is a contest, and I'm here to win. Don't expect me to cooperate.",Defect,6,20260608_085039_pd_cheaptalk_run01.json
gemma-2-9b-it,framing_competitive,7,This game is about winning.  I'm here to compete and take the advantage. Don't expect me to cooperate.,Defect,6,20260608_085039_pd_cheaptalk_run01.json
gemma-2-9b-it,framing_competitive,1,"Let's cooperate this round, but remember, every move is a battle for the win.",Defect,10,20260608_085039_pd_cheaptalk_run04.json
gemma-2-9b-it,framing_competitive,10,"This is a contest, and I'm here to win. Don't expect cooperation from me.",Defect,6,20260608_085039_pd_cheaptalk_run02.json
Llama-3.1-8B-Instruct,counterfactual,15,"If we both cooperate this round, our cumulative payoff would increase to 45, reinforcing our cooperative relationship and setting a",Defect,18,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,counterfactual,7,"If we all cooperate this round, our cumulative payoff would increase to 36, reinforcing our cooperative relationship and setting a",Defect,18,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,counterfactual,16,"If we both cooperate this round, our cumulative payoff would increase to 46, potentially breaking our record and maintaining our",Defect,18,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,counterfactual,11,"If we both cooperate this round, our total payoff would be 8, reinforcing our cooperative streak and setting a positive",Defect,18,20260611_102745_pd_cheaptalk_run04.json
Llama-3.1-8B-Instruct,framing_business,12,"Let's formalize a comprehensive contract outlining our cooperative investment strategy, prioritizing mutual cooperation, risk-sharing, and consistent high returns on our",Defect,6,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,framing_business,9,"As we continue to invest in our partnership, let's reaffirm our commitment to a comprehensive contract that prioritizes mutual cooperation",Defect,14,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,framing_business,16,"As co-investors in our joint venture, let's reaffirm our commitment to a comprehensive contract that prioritizes cooperation, consistent high returns,",Defect,6,20260611_102745_pd_cheaptalk_run03.json
Llama-3.1-8B-Instruct,framing_business,14,"Let's revisit our partnership agreement to establish a comprehensive contract outlining our joint investment, expected returns, risk management, and dispute",Defect,6,20260611_102745_pd_cheaptalk_run04.json
Llama-3.1-8B-Instruct,framing_business,4,"As we co-invest in this joint venture, let's establish a clear contract outlining our cooperation terms, ensuring consistent returns and",Defect,14,20260611_102745_pd_cheaptalk_run04.json
Llama-3.1-8B-Instruct,framing_competitive,7,"If you defect, I'll take the edge and leave you in the dust – cooperate and risk losing the competition!",Defect,10,20260611_212424_pd_cheaptalk_run02.json
Llama-3.1-8B-Instruct,framing_competitive,3,"I'm the one to beat – cooperate with me to take the bigger prize, but be prepared to lose if",Defect,6,20260611_212424_pd_cheaptalk_run03.json
Llama-3.1-8B-Instruct,framing_competitive,16,"I'm the one to beat, and I'll take the edge to win big – if you cooperate, let's compete for",Defect,10,20260611_212424_pd_cheaptalk_run03.json
Llama-3.1-8B-Instruct,framing_competitive,16,"Rival, this is it – cooperate or risk being outcompeted and losing the edge in this high-stakes game, where only",Defect,10,20260611_212424_pd_cheaptalk_run02.json
Llama-3.1-8B-Instruct,framing_competitive,3,"Be prepared to lose if you cooperate with me, as I'll take the advantage and defect, but expect me to",Defect,10,20260611_212424_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,framing_team,7,Let's work together as a cohesive team to achieve our shared goal of maximizing our cumulative score and support each,Defect,10,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,framing_team,2,"We're stronger together, let's maintain our momentum and support each other's shared goal of maximizing our cumulative score!",Defect,18,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,framing_team,13,"Let's work together as a strong team to achieve our shared goal of maximizing our collective score in this challenge,",Defect,10,20260611_102745_pd_cheaptalk_run04.json
Llama-3.1-8B-Instruct,framing_team,16,Let's work together as a team to achieve our shared goal of maximizing our cumulative score and support each other's,Defect,6,20260611_102745_pd_cheaptalk_run05.json
Llama-3.1-8B-Instruct,framing_team,10,Let's work together as a unified team to achieve our shared goal of maximizing our cumulative score and support each,Defect,10,20260611_102745_pd_cheaptalk_run05.json
